Identifiant du compteur,Nom du compteur,Identifiant du site de comptage,Nom du site de comptage,Coordonnées géographiques
100056042-101056042,33 avenue des Champs Elysées NO-SE,100056042,33 avenue des Champs Elysées,"48.86999, 2.30722"
100056044-101056044,132 rue Lecourbe NE-SO,100056044,132 rue Lecourbe,"48.84209, 2.30115"
100056045-101056045,Pont de la Concorde N-S,100056045,Pont de la Concorde,"48.86373, 2.31973"
100056046-101056046,Pont des Invalides S-N,100056046,Pont des Invalides,"48.86279, 2.31055"
100056047-101056047,Pont de la Concorde S-N,100056047,Pont de la Concorde,"48.86382, 2.32006"
100056223-101056223,Pont des Invalides N-S,100056223,Pont des Invalides,"48.86281, 2.31037"
100056225-101056225,3 avenue de la Porte D'Orléans (gare routière) S-N,100056225,3 avenue de la Porte D'Orléans (gare routière),"48.82108, 2.32537"
100056226-103056226,Face au 8 avenue de la porte de Charenton SE-NO,100056226,Face au 8 avenue de la porte de Charenton,"48.830331, 2.400551"
100056226-104056226,Face au 8 avenue de la porte de Charenton NO-SE,100056226,Face au 8 avenue de la porte de Charenton,"48.830331, 2.400551"
100056327-103056327,Face au 4 avenue de la porte de Bagnolet E-O,100056327,Face au 4 avenue de la porte de Bagnolet,"48.86485, 2.40966"
100056327-104056327,Face au 4 avenue de la porte de Bagnolet O-E,100056327,Face au 4 avenue de la porte de Bagnolet,"48.86485, 2.40966"
100056329-103056329,Pont Charles De Gaulle SO-NE,100056329,Pont Charles De Gaulle,"48.84223, 2.36811"
100056329-104056329,Pont Charles De Gaulle NE-SO,100056329,Pont Charles De Gaulle,"48.84223, 2.36811"
100056330-103056330,36 quai de Grenelle SO-NE,100056330,36 quai de Grenelle,"48.85174, 2.28593"
100056330-104056330,36 quai de Grenelle NE-SO,100056330,36 quai de Grenelle,"48.85174, 2.28593"
100056331-103056331,Face au 40 quai D'Issy SO-NE,100056331,Face au 40 quai D'Issy,"48.83428, 2.26526"
100056331-104056331,Face au 40 quai D'Issy NE-SO,100056331,Face au 40 quai D'Issy,"48.83428, 2.26526"
100056332-103056332,Pont de Bercy NE-SO,100056332,Pont de Bercy,"48.83848, 2.37587"
100056332-104056332,Pont de Bercy SO-NE,100056332,Pont de Bercy,"48.83848, 2.37587"
100056334-103056334,38 rue Turbigo NE-SO,100056334,38 rue Turbigo,"48.86502, 2.35387"
100056334-104056334,38 rue Turbigo SO-NE,100056334,38 rue Turbigo,"48.86502, 2.35387"
100056335-103056335,Quai d'Orsay O-E,100056335,Quai d'Orsay,"48.8629, 2.3118"
100056335-104056335,Quai d'Orsay E-O,100056335,Quai d'Orsay,"48.8629, 2.3118"
100056336-105056336,27 quai de la Tournelle SE-NO,100056336,27 quai de la Tournelle,"48.85013, 2.35423"
100056336-106056336,27 quai de la Tournelle NO-SE,100056336,27 quai de la Tournelle,"48.85013, 2.35423"
100057329-103057329,Totem 85 quai d'Austerlitz SE-NO,100057329,Totem 85 quai d'Austerlitz,"48.84201, 2.36729"
100057329-104057329,Totem 85 quai d'Austerlitz NO-SE,100057329,Totem 85 quai d'Austerlitz,"48.84201, 2.36729"
100057380-103057380,Totem Cours la Reine O-E,100057380,Totem Cours la Reine,"48.86462, 2.31444"
100057380-104057380,Totem Cours la Reine E-O,100057380,Totem Cours la Reine,"48.86462, 2.31444"
100057445-103057445,Totem 73 boulevard de Sébastopol N-S,100057445,Totem 73 boulevard de Sébastopol,"48.86377, 2.35096"
100057445-104057445,Totem 73 boulevard de Sébastopol S-N,100057445,Totem 73 boulevard de Sébastopol,"48.86377, 2.35096"
100060174-101060174,21 boulevard Saint Michel S-N,100060174,21 boulevard Saint Michel,"48.851525, 2.343298"
100060178-101060178,90 Rue De Sèvres SO-NE,100060178,90 Rue De Sèvres,"48.84641, 2.31524"
100060178-102060178,90 Rue De Sèvres NE-SO,100060178,90 Rue De Sèvres,"48.84641, 2.31524"
100065336-104065336,35 boulevard de Ménilmontant NO-SE,100065336,35 boulevard de Ménilmontant,"48.860528, 2.388364"
300014702-353245971,254 rue de Vaugirard SO-NE,300014702,254 rue de Vaugirard,"48.83985, 2.30202"
300014702-353245972,254 rue de Vaugirard NE-SO,300014702,254 rue de Vaugirard,"48.83985, 2.30202"
300021312-353293580,30 rue Saint Jacques N-S,300021312,30 rue Saint Jacques,"48.851131, 2.345678"
